full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Benjamin Babati,26,817603200,1995/11/29,UEFA Nations League,2020/2021,Forward,Hungary,0,0,0,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benjamin Büchel,32,615513600,1989/07/04,UEFA Nations League,2020/2021,Goalkeeper,Liechtenstein,270,180,90,Liechtenstein,3,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,12
Benjamin Cabango,21,959644800,2000/05/30,UEFA Nations League,2020/2021,Defender,Wales,0,0,0,Wales,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benjamin Henrichs,24,856656000,1997/02/23,UEFA Nations League,2020/2021,Defender,Germany,14,0,14,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.43,14,14,0,0,0,-1,-1,-1,28
Benjamin Kololli,29,705888000,1992/05/15,UEFA Nations League,2020/2021,Midfielder,Kosovo,255,84,171,Kosovo,3,1,2,1,0,1,0,0,0,0,0,1,0,1,2,1,1,1,1,0.35,0,0.35,0,0.53,255,0.71,128,85,128,0,0.71,-1,-1,-1,4
Benjamin Pavard,25,827971200,1996/03/28,UEFA Nations League,2020/2021,Defender,France,440,180,260,France,5,2,3,1,1,0,0,0,0,0,0,2,1,1,5,2,3,0,0,0.2,0,0.2,0.5,0,440,1.02,88,88,0,0,0,114,214,125,5
Benjamin Tatar,27,769219200,1994/05/18,UEFA Nations League,2020/2021,Forward,Bosnia-Herzegovina,145,133,12,Croatia,3,2,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1.24,73,48,0,0,0,-1,-1,-1,9
Benjamin Verbič,28,754358400,1993/11/27,UEFA Nations League,2020/2021,Midfielder,Slovenia,188,0,188,Slovenia,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,-1,-1,-1,9
Benjamin Woodburn,22,939945600,1999/10/15,UEFA Nations League,2020/2021,Forward,Wales,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benoît Costil,34,552268800,1987/07/03,UEFA Nations League,2020/2021,Goalkeeper,France,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Berat Djimsiti,28,730080000,1993/02/19,UEFA Nations League,2020/2021,Defender,Albania,540,270,270,Albania,6,3,3,0,0,0,0,0,0,0,0,3,0,3,4,4,0,1,0,0,0,0,0,0,0,0.67,135,90,540,0,0.17,413,130,58,28
Berkay Özcan,23,887500800,1998/02/15,UEFA Nations League,2020/2021,Midfielder,Turkey,19,0,19,Turkey,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,-1,-1,-1,31
Bernard Berisha,30,688262400,1991/10/24,UEFA Nations League,2020/2021,Midfielder,Kosovo,120,36,84,Kosovo,2,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,2,0,1.5,0.75,0.75,2.5,0,120,0.75,120,60,60,120,1.5,-1,-1,-1,2
Bernardo Silva,27,776476800,1994/08/10,UEFA Nations League,2020/2021,Midfielder,Portugal,327,225,102,Portugal,6,3,3,1,1,0,1,1,0,0,0,3,1,2,1,1,0,0,0,0.55,0.28,0.28,0.4,0,327,0.28,327,55,0,327,0,66,35,-1,7
Bernd Leno,29,699667200,1992/03/04,UEFA Nations League,2020/2021,Goalkeeper,Germany,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,14
Bersant Celina,25,842227200,1996/09/09,UEFA Nations League,2020/2021,Forward,Kosovo,362,269,93,Kosovo,5,3,2,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0.75,121,72,0,0,0,297,292,-1,17
Besar Halimi,26,787190400,1994/12/12,UEFA Nations League,2020/2021,Midfielder,Kosovo,55,55,0,Kosovo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3.27,28,55,0,0,0,-1,-1,-1,11
Bibras Natcho,33,572140800,1988/02/18,UEFA Nations League,2020/2021,Midfielder,Israel,377,183,194,Israel,6,3,3,0,0,0,0,0,0,0,0,1,1,0,7,3,4,0,0,0,0,0,0,0,0,1.67,54,63,0,0,0,427,411,-1,21
Birger Meling,26,787622400,1994/12/17,UEFA Nations League,2020/2021,Defender,Norway,193,180,13,Norway,3,2,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0.47,0.47,0,0,0,0,0,0,64,193,193,0.47,-1,-1,-1,34
Birkir Bjarnason,33,580694400,1988/05/27,UEFA Nations League,2020/2021,Midfielder,Iceland,494,270,224,Iceland,6,3,3,0,0,0,1,0,1,0,1,0,0,0,15,5,10,0,0,0.18,0.18,0,0,0,0,2.73,33,82,0,494,0,161,101,-1,26
Birkir Már Sævarsson,37,468979200,1984/11/11,UEFA Nations League,2020/2021,Defender,Iceland,234,90,144,Iceland,3,1,2,1,1,0,0,0,0,0,0,0,0,0,5,2,3,3,1,0.38,0,0.38,1,0,234,1.92,47,78,78,0,1.15,-1,-1,-1,2
Birsent Karagaren,29,723600000,1992/12/06,UEFA Nations League,2020/2021,Forward,Bulgaria,152,32,120,Bulgaria,5,3,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.59,152,30,0,0,0,-1,-1,-1,23
Bjorn Kristensen,28,733968000,1993/04/05,UEFA Nations League,2020/2021,Midfielder,Malta,11,0,11,Malta,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,11
Blaž Kramer,25,833587200,1996/06/01,UEFA Nations League,2020/2021,Midfielder,Slovenia,10,5,5,Slovenia,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,10
Boban Nikolov,27,775353600,1994/07/28,UEFA Nations League,2020/2021,Forward,FYR Macedonia,348,253,95,FYR Macedonia,5,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,1.03,87,70,174,0,0.52,191,172,-1,22
Bogdan Alexandru Mitrea,34,559872000,1987/09/29,UEFA Nations League,2020/2021,Defender,Romania,0,0,0,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bogdan Ionuț Țîru,27,763689600,1994/03/15,UEFA Nations League,2020/2021,Midfielder,Romania,0,0,0,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bogdan Mykhaylichenko,24,858902400,1997/03/21,UEFA Nations League,2020/2021,Midfielder,Ukraine,196,90,106,Ukraine,3,1,2,0,0,0,1,1,0,0,0,0,0,0,5,1,4,0,0,0.46,0.46,0,0,0,0,2.3,39,65,0,196,0,-1,-1,-1,21
Bojan Nastić,27,773452800,1994/07/06,UEFA Nations League,2020/2021,Defender,Bosnia-Herzegovina,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bořek Dočkal,33,591580800,1988/09/30,UEFA Nations League,2020/2021,Midfielder,Czech Republic,91,1,90,Czech Republic,2,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0.99,0,0.99,0,1,91,0.99,91,46,0,0,0,-1,-1,-1,4
Borna Barišić,29,721353600,1992/11/10,UEFA Nations League,2020/2021,Defender,Croatia,270,90,180,Croatia,3,1,2,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,0,0,0,0,0,0,0,2.33,39,90,270,0,0.33,-1,-1,-1,24
Bozhidar Kraev,24,867024000,1997/06/23,UEFA Nations League,2020/2021,Midfielder,Bulgaria,436,255,181,Bulgaria,6,3,3,1,1,0,0,0,0,0,0,1,0,1,3,2,1,1,0,0.21,0,0.21,0.35,0,436,0.62,145,73,436,0,0.21,108,327,-1,1
Brad Power,29,720316800,1992/10/29,UEFA Nations League,2020/2021,Defender,Gibraltar,0,0,0,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bradley Banda,23,885254400,1998/01/20,UEFA Nations League,2020/2021,Goalkeeper,Gibraltar,0,0,0,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Brandon Mechele,28,728179200,1993/01/28,UEFA Nations League,2020/2021,Defender,Belgium,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Brandur Hendriksson Olsen,25,819331200,1995/12/19,UEFA Nations League,2020/2021,Midfielder,Faroe Islands,371,191,180,Faroe Islands,5,3,2,1,1,0,0,0,0,0,0,2,1,1,3,2,1,2,0,0.24,0,0.24,0.47,0,371,0.73,124,74,186,0,0.49,97,371,-1,4
Branimir Cipetić,26,801273600,1995/05/24,UEFA Nations League,2020/2021,Defender,Bosnia-Herzegovina,180,0,180,Croatia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,23
Branislav Janković,29,697507200,1992/02/08,UEFA Nations League,2020/2021,Midfielder,Montenegro,10,10,0,Montenegro,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,9
Branislav Ňinaj,27,769132800,1994/05/17,UEFA Nations League,2020/2021,Defender,Slovakia,90,0,90,Slovakia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,18
Breel Embolo,24,855878400,1997/02/14,UEFA Nations League,2020/2021,Forward,Switzerland,252,162,90,Switzerland,3,2,1,0,0,0,2,2,0,0,0,0,0,0,4,2,2,1,0,0.71,0.71,0,0,0,0,1.43,63,84,252,126,0.36,-1,-1,-1,18
Brennan Johnson,20,990576000,2001/05/23,UEFA Nations League,2020/2021,Midfielder,Wales,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bruno Miguel Borges Fernandes,27,778982400,1994/09/08,UEFA Nations League,2020/2021,Midfielder,Portugal,466,250,216,Portugal,6,3,3,0,0,0,1,1,0,0,0,3,1,2,2,1,1,1,0,0.19,0.19,0,0,0,0,0.39,233,78,466,466,0.19,224,96,-1,23
Bruno Miguel Semedo Varela,27,783907200,1994/11/04,UEFA Nations League,2020/2021,Goalkeeper,Portugal,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bruno Petković,27,779673600,1994/09/16,UEFA Nations League,2020/2021,Forward,Croatia,95,66,29,Croatia,4,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.95,0,0.95,0,3.1,95,0.95,95,24,0,0,0,-1,-1,-1,3
Bryan Cristante,26,794188800,1995/03/03,UEFA Nations League,2020/2021,Midfielder,Italy,29,20,9,Italy,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,3.1,29,15,29,0,3.1,-1,-1,-1,22
Bryan Gil Salvatierra,20,981849600,2001/02/11,UEFA Nations League,2020/2021,Forward,Spain,15,0,15,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,15,15,0,0,0,-1,-1,-1,20
Burak Yılmaz,36,490233600,1985/07/15,UEFA Nations League,2020/2021,Forward,Turkey,282,180,102,Turkey,4,2,2,0,0,0,0,0,0,0,0,1,0,1,4,3,1,3,1,0,0,0,0,0,0,1.28,71,71,94,0,0.96,310,317,-1,24
Bəhlul Mustafazadə,24,857001600,1997/02/27,UEFA Nations League,2020/2021,Defender,Azerbaijan,341,161,180,Azerbaijan,4,2,2,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,1.06,85,85,0,0,0,226,243,126,26
Caglar Söyüncü,25,832809600,1996/05/23,UEFA Nations League,2020/2021,Defender,Turkey,180,90,90,Turkey,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,30
Cain Attard,27,779155200,1994/09/10,UEFA Nations League,2020/2021,Midfielder,Malta,0,0,0,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Callum McGregor,28,740016000,1993/06/14,UEFA Nations League,2020/2021,Midfielder,Scotland,290,198,92,Scotland,5,3,2,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0.62,145,58,0,0,0,424,430,-1,23
Callum O'Dowda,26,798595200,1995/04/23,UEFA Nations League,2020/2021,Midfielder,Republic of Ireland,141,59,82,Republic of Ireland,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.64,141,47,0,0,0,-1,-1,-1,24
Callum Paterson,27,782006400,1994/10/13,UEFA Nations League,2020/2021,Defender,Scotland,39,16,23,Scotland,3,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,14
Callum Robinson,26,791683200,1995/02/02,UEFA Nations League,2020/2021,Forward,Republic of Ireland,47,31,16,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.91,47,24,0,0,0,-1,-1,-1,20
Calvin Stengs,22,913939200,1998/12/18,UEFA Nations League,2020/2021,Midfielder,Netherlands,71,1,70,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.27,71,36,0,0,0,-1,-1,-1,8
Caner Erkin,33,591926400,1988/10/04,UEFA Nations League,2020/2021,Defender,Turkey,180,90,90,Turkey,2,1,1,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0.5,0.5,0,0,0,0,1.5,60,90,0,180,0,-1,-1,-1,9
Caoimhin Kelleher,23,911779200,1998/11/23,UEFA Nations League,2020/2021,Goalkeeper,Republic of Ireland,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cătălin Carp,28,751075200,1993/10/20,UEFA Nations League,2020/2021,Defender,Moldova,208,118,90,Moldova,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,2.16,42,69,0,0,0,-1,-1,-1,23
Cédric Itten,24,851644800,1996/12/27,UEFA Nations League,2020/2021,Forward,Switzerland,5,0,5,Switzerland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,6
Cengiz Umut Meraş,25,819417600,1995/12/20,UEFA Nations League,2020/2021,Defender,Turkey,243,153,90,Turkey,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.11,81,81,0,0,0,-1,-1,-1,28
Cengiz Ünder,24,868838400,1997/07/14,UEFA Nations League,2020/2021,Midfielder,Turkey,224,150,74,Turkey,4,2,2,1,1,0,0,0,0,0,0,1,0,1,4,4,0,2,0,0.4,0,0.4,0.6,0,224,1.61,56,56,112,0,0.8,-1,-1,-1,4
Cenk Tosun,30,676252800,1991/06/07,UEFA Nations League,2020/2021,Forward,Turkey,151,80,71,Turkey,2,1,1,1,1,0,0,0,0,1,0,0,0,0,3,2,1,1,0,0.6,0,0.6,1.13,0,151,1.79,50,76,151,0,0.6,-1,-1,-1,3
Cesar Azpilicueta,32,620265600,1989/08/28,UEFA Nations League,2020/2021,Defender,Spain,180,90,90,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,1.5,60,90,180,0,0.5,-1,-1,-1,21
Charalambos Kyriakides,23,912384000,1998/11/30,UEFA Nations League,2020/2021,Goalkeeper,Cyprus,270,180,90,Cyprus,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,2
Charalampos Lykogiannis,28,751248000,1993/10/22,UEFA Nations League,2020/2021,Defender,Greece,0,0,0,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Charalampos Mavrias,27,761788800,1994/02/21,UEFA Nations League,2020/2021,Midfielder,Greece,180,90,90,Greece,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,90,180,0,0.5,-1,-1,-1,9
Charis Kyriakou,32,624412800,1989/10/15,UEFA Nations League,2020/2021,Midfielder,Cyprus,187,97,90,Cyprus,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,2.41,37,62,0,0,0,-1,-1,-1,15
Charis Kyriakou,26,792288000,1995/02/09,UEFA Nations League,2020/2021,Midfielder,Cyprus,166,61,105,Cyprus,5,2,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.54,166,33,166,0,0.54,-1,-1,-1,14
Charles De Ketelaere,20,984182400,2001/03/10,UEFA Nations League,2020/2021,Midfielder,Belgium,31,0,31,Belgium,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2.9,0,2.9,0,2.9,31,2.9,31,31,0,0,0,-1,-1,-1,7
Chris Gunter,32,616982400,1989/07/21,UEFA Nations League,2020/2021,Defender,Wales,0,0,0,Wales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chris Mepham,24,878688000,1997/11/05,UEFA Nations League,2020/2021,Defender,Wales,270,180,90,Wales,3,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,9
Christian Benteke,31,660182400,1990/12/03,UEFA Nations League,2020/2021,Forward,Belgium,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Eriksen,29,698025600,1992/02/14,UEFA Nations League,2020/2021,Midfielder,Denmark,540,270,270,Denmark,6,3,3,4,2,2,0,0,0,3,0,3,1,2,7,3,4,0,0,0.67,0,0.67,0.67,0.67,135,1.17,77,90,0,0,0,15,277,-1,1
Christian Fassnacht,28,752976000,1993/11/11,UEFA Nations League,2020/2021,Forward,Switzerland,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Garcia,22,918086400,1999/02/04,UEFA Nations League,2020/2021,Defender,Andorra,89,89,0,Andorra,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,0,0,0,0,0,0,4.04,22,89,45,0,2.02,-1,-1,-1,24
Christian Gytkjær,31,641952000,1990/05/06,UEFA Nations League,2020/2021,Forward,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Nørgaard,27,763257600,1994/03/10,UEFA Nations League,2020/2021,Midfielder,Denmark,73,73,0,Denmark,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,-1,-1,-1,12
Christoph Baumgartner,22,933465600,1999/08/01,UEFA Nations League,2020/2021,Midfielder,Austria,360,90,270,Austria,4,1,3,1,1,0,2,1,1,0,0,2,0,2,4,3,1,1,0,0.75,0.5,0.25,1,0,360,1,90,90,360,180,0.25,84,13,-1,5
Christoph Monschein,29,719712000,1992/10/22,UEFA Nations League,2020/2021,Forward,Austria,9,9,0,Austria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,12
Christopher Martins,24,856310400,1997/02/19,UEFA Nations League,2020/2021,Midfielder,Luxembourg,174,84,90,Luxembourg,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0.52,174,87,87,0,1.03,-1,-1,-1,16
Christopher Trimmel,34,541123200,1987/02/24,UEFA Nations League,2020/2021,Defender,Austria,17,0,17,Austria,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,11
Christos Shelis,21,949449600,2000/02/02,UEFA Nations League,2020/2021,Defender,Cyprus,180,90,90,Cyprus,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,8
Christos Tzolis,19,1012348800,2002/01/30,UEFA Nations League,2020/2021,Forward,Greece,48,23,25,Greece,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,18
Christos Wheeler,24,867542400,1997/06/29,UEFA Nations League,2020/2021,Defender,Cyprus,233,90,143,Cyprus,3,1,2,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,1.55,58,78,0,0,0,-1,-1,-1,26
Ciaran Clark,32,622771200,1989/09/26,UEFA Nations League,2020/2021,Defender,Republic of Ireland,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cican Stankovic,29,720835200,1992/11/04,UEFA Nations League,2020/2021,Goalkeeper,Austria,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ciprian Ioan Deac,35,508896000,1986/02/16,UEFA Nations League,2020/2021,Midfielder,Romania,123,83,40,Romania,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1.46,62,62,123,0,0.73,-1,-1,-1,23
Ciprian Tătărușanu,35,508291200,1986/02/09,UEFA Nations League,2020/2021,Goalkeeper,Romania,450,180,270,Romania,5,2,3,0,0,0,0,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0,0,1.8,50,90,0,0,0,387,393,179,18
Ciro Immobile,31,635472000,1990/02/20,UEFA Nations League,2020/2021,Forward,Italy,197,107,90,Italy,3,2,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0.46,0.46,0,0,0,0,0.46,197,66,0,197,0,-1,-1,-1,25
Claudiu Andrei Keșerü,35,533865600,1986/12/02,UEFA Nations League,2020/2021,Forward,Romania,54,28,26,Romania,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3.33,27,27,0,0,0,-1,-1,-1,16
Clément Lenglet,26,803347200,1995/06/17,UEFA Nations League,2020/2021,Defender,France,180,90,90,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,1.5,60,90,180,0,0.5,-1,-1,-1,19
Connor Roberts,26,811814400,1995/09/23,UEFA Nations League,2020/2021,Midfielder,Wales,335,155,180,Wales,4,2,2,0,0,0,0,0,0,0,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0.27,335,84,335,0,0.27,338,335,-1,24
Conor Coady,28,730598400,1993/02/25,UEFA Nations League,2020/2021,Midfielder,England,180,90,90,England,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,15
Conor Hazard,23,889056000,1998/03/05,UEFA Nations League,2020/2021,Goalkeeper,Northern Ireland,0,0,0,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Conor Hourihane,30,665452800,1991/02/02,UEFA Nations League,2020/2021,Midfielder,Republic of Ireland,375,180,195,Republic of Ireland,5,2,3,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.48,188,75,0,0,0,326,321,-1,26
Conor McLaughlin,30,680486400,1991/07/26,UEFA Nations League,2020/2021,Defender,Northern Ireland,235,101,134,Northern Ireland,4,2,2,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,0,0,0,0,0,0,0,1.91,47,59,235,0,0.38,-1,-1,-1,11
Conor Washington,29,706147200,1992/05/18,UEFA Nations League,2020/2021,Forward,Northern Ireland,331,129,202,Northern Ireland,6,3,3,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,2.18,41,55,0,0,0,390,397,-1,20
Constantin Bogdan,27,757123200,1993/12/29,UEFA Nations League,2020/2021,Defender,Moldova,0,0,0,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Corentin Tolisso,27,775872000,1994/08/03,UEFA Nations League,2020/2021,Midfielder,France,63,0,63,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,-1,-1,-1,10
Corry Evans,31,649296000,1990/07/30,UEFA Nations League,2020/2021,Midfielder,Northern Ireland,203,36,167,Northern Ireland,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0.89,102,51,203,0,0.44,-1,-1,-1,22
